EW Item #,<40* F
EW0-1,0
EW1-1,1
EW2-1,1
EW3-1,1
EW4-1,2
EW5-1,2
EW6-1,2
EW7-1,2
EW8-1,2
EW9-1,2
EW10-1,2
EW11-1,2
EW12-1,1
EW13-1,1
EW14-1,1
EW15-1,1
EW16-1,1
EW17-1,1
EW18-1,1
EW19-1,1
EW20-1,1
EW21-1,1
EW22-1,1
EW23-1,1
EW24-1,1
EW25-1,1
EW26-1,1
EW27-1,1
EW28-1,2
EW29-1,2
EW30-1,2
EW31-1,2
EW32-1,2
EW33-1,2
EW34-1,2
EW35-1,0
EW36-1,0
EW37-1,0
EW38-1,0
EW39-1,0
EW40-1,0
EW41-1,0
EW42-1,0
EW43-1,0
EW44-1,1
EW45-1,1
EW46-1,1
EW47-1,0
EW48-1,0
EW49-1,0
EW50-1,0
EW51-1,3
EW52-1,0
EW53-1,0
EW54-1,0
EW55-1,0
EW56-1,0
EW57-1,0
EW58-1,0
EW59-1,0
EW60-1,0
EW61-1,0
EW62-1,0
EW63-1,0
EW64-1,0
EW65-1,0
EW66-1,0
EW67-1,0
EW68-1,0
EW69-1,0
EW70-1,0
EW71-1,0
EW72-1,0
EW73-1,0
EW74-1,0
EW75-1,0
EW76-1,0
EW77-1,0
EW78-1,0
EW79-1,0
EW80-1,0
EW81-1,0
EW82-1,0
EW83-1,0
EW84-1,0
EW85-1,0
EW86-1,0
EW87-1,1
EW88-1,1
EW89-1,1
EW90-1,1
EW91-1,1
EW92-1,0
EW93-1,0
EW94-1,0
EW95-1,0
EW96-1,0
EW97-1,0
EW98-1,0
EW99-1,0
EW100-1,0
EW101-1,0
EW102-1,0
EW103-1,0
EW104-1,0
EW105-1,0
EW106-1,3
EW107-1,3
EW108-1,3
EW109-1,3
EW110-1,3
EW111-1,3
EW112-1,3
EW113-1,0
EW114-1,0
EW115-1,0
EW116-1,0
EW117-1,0
EW118-1,0
EW119-1,0
EW120-1,0
EW121-1,0
EW122-1,3
EW123-1,3
EW124-1,3
EW125-1,0
EW126-1,0
EW127-1,0
EW128-1,0
EW129-1,0
EW130-1,0
EW131-1,0
EW132-1,0
EW133-1,0
EW134-1,0
EW135-1,0
EW136-1,0
EW137-1,1
EW138-1,0
EW139-1,0
EW140-1,0
EW141-1,0
EW142-1,0
EW143-1,0
EW144-1,0
EW145-1,0
EW146-1,0
EW147-1,0
EW148-1,0
EW149-1,0
EW150-1,0
EW151-1,0
EW152-1,0
EW153-1,0
EW154-1,0
EW155-1,0
EW156-1,0
EW157-1,0
EW158-1,0
EW159-1,0
EW160-1,0
EW161-1,0
EW162-1,0
EW163-1,0
EW164-1,0
EW165-1,0
EW166-1,0
EW167-1,0
EW168-1,0
EW169-1,0
EW170-1,0
EW171-1,0
EW172-1,0
EW173-1,0
EW174-1,0
EW175-1,0
EW176-1,0
EW177-1,0
EW178-1,0
EW179-1,0
EW180-1,0
EW181-1,0
EW182-1,0
EW183-1,1
EW184-1,1
EW185-1,1
EW186-1,1
EW187-1,1
EW188-1,1
EW189-1,1
EW190-1,1
EW191-1,1
EW192-1,1
EW193-1,1
EW194-1,0
EW195-1,0
EW196-1,0
EW197-1,0
EW198-1,0
EW199-1,0
EW200-1,0
EW201-1,0
EW202-1,0
EW203-1,0
EW204-1,0
EW205-1,0
EW206-1,0
EW207-1,0
EW208-1,0
EW209-1,0
EW210-1,0
EW211-1,0
EW212-1,1
EW213-1,3
EW214-1,3
EW215-1,3
EW216-1,1
EW217-1,1
EW218-1,1
EW219-1,1
EW220-1,3
EW221-1,3
EW222-1,0
EW223-1,0
EW224-1,0
EW225-1,0
EW226-1,0
EW227-1,0
EW228-1,0
EW229-1,0
EW230-1,0
EW231-1,0
EW232-1,0
EW233-1,0
EW234-1,1
EW235-1,1
EW236-1,1
EW237-1,1
EW238-1,0
EW239-1,0
EW240-1,0
EW241-1,0
EW242-1,0
EW243-1,0
EW244-1,0
EW245-1,0
EW246-1,0
EW247-1,0
EW248-1,0
EW249-1,0
EW250-1,0
EW251-1,0
EW252-1,1
EW253-1,1
EW254-1,0
EW255-1,0
EW256-1,0
EW257-1,0
EW258-1,0
EW259-1,0
EW260-1,0
EW261-1,0
EW262-1,0
EW263-1,0
EW264-1,0
EW265-1,0
EW266-1,0
EW267-1,0
EW268-1,0
EW269-1,0
EW270-1,0
EW271-1,0
EW272-1,1
EW273-1,1
EW274-1,0
EW275-1,0
EW276-1,0
EW277-1,0
EW278-1,0
EW279-1,0
EW280-1,0
EW281-1,0
EW282-1,0
EW283-1,0
EW284-1,0
EW285-1,0
EW286-1,0
EW287-1,0
EW288-1,0
EW289-1,0
EW290-1,0
EW291-1,0
EW292-1,0
EW293-1,0
EW294-1,3
EW295-1,0
EW296-1,0
EW297-1,0
EW298-1,0
EW299-1,1
EW300-1,1
EW301-1,0
EW302-1,0
EW303-1,0
EW304-1,0
EW305-1,1
EW306-1,1
EW307-1,1
EW308-1,1
EW309-1,1
EW310-1,1
EW311-1,1
EW312-1,1
EW313-1,1
EW314-1,1
EW315-1,1
EW316-1,1
EW317-1,1
EW318-1,1
EW319-1,1
EW320-1,0
EW321-1,0
EW322-1,0
EW323-1,0
EW324-1,0
EW325-1,1
EW326-1,3
EW327-1,3
EW328-1,0
EW329-1,3
EW330-1,3
EW331-1,0
EW332-1,0
EW333-1,0
EW334-1,0
EW335-1,0
EW336-1,0
EW337-1,0
EW338-1,0
EW339-1,1
EW340-1,0
EW341-1,0
EW342-1,0
EW343-1,0
EW344-1,0
EW345-1,0
EW346-1,0
EW347-1,0
EW348-1,0
EW349-1,0
EW350-1,0
EW351-1,0
EW352-1,0
EW353-1,0
EW354-1,0
EW355-1,0
EW356-1,0
EW357-1,0
EW358-1,0
EW359-1,0
EW360-1,0
EW361-1,0
EW362-1,0
EW363-1,1
EW364-1,1
EW365-1,1
EW366-1,1
EW367-1,1
EW368-1,1
EW369-1,1
EW370-1,1
EW371-1,0
EW372-1,0
EW373-1,0
EW374-1,0
EW375-1,0
EW376-1,0
EW377-1,0
EW378-1,0
EW379-1,0
EW380-1,0
EW381-1,0
EW382-1,1
EW383-1,1
EW384-1,1
EW385-1,1
EW386-1,1
EW387-1,1
EW388-1,3
EW389-1,3
EW390-1,3
EW391-1,3
EW392-1,3
EW393-1,3
EW394-1,3
EW395-1,3
EW396-1,3
EW397-1,3
EW398-1,3
EW399-1,3
EW400-1,3
EW401-1,3
EW402-1,3
EW403-1,4
EW404-1,3
EW405-1,3
EW406-1,4
EW407-1,0
EW408-1,0
EW409-1,0
EW410-1,0
EW411-1,0
EW412-1,0
EW413-1,0
EW414-1,1
EW415-1,1
EW416-1,1
EW417-1,0
EW418-1,0
EW419-1,0
EW420-1,0
EW421-1,3
EW422-1,0
EW423-1,0
EW424-1,0
EW425-1,0
EW426-1,0
EW427-1,0
EW428-1,0
EW429-1,0
EW430-1,0
EW431-1,0
EW432-1,0
EW433-1,0
EW434-1,0
EW435-1,0
EW436-1,0
EW437-1,0
EW438-1,0
EW439-1,0
EW440-1,0
EW441-1,0
EW442-1,0
EW443-1,0
EW444-1,0
EW445-1,0
EW446-1,0
EW447-1,0
EW448-1,0
