EW Item #,Gender
EW0-1,1
EW1-1,1
EW2-1,1
EW3-1,1
EW4-1,1
EW5-1,1
EW6-1,1
EW7-1,1
EW8-1,1
EW9-1,1
EW10-1,1
EW11-1,1
EW12-1,1
EW13-1,1
EW14-1,1
EW15-1,1
EW16-1,1
EW17-1,1
EW18-1,1
EW19-1,1
EW20-1,1
EW21-1,1
EW22-1,1
EW23-1,1
EW24-1,1
EW25-1,1
EW26-1,1
EW27-1,1
EW28-1,1
EW29-1,1
EW30-1,1
EW31-1,1
EW32-1,1
EW33-1,1
EW34-1,1
EW35-1,1
EW36-1,1
EW37-1,1
EW38-1,1
EW39-1,1
EW40-1,2
EW41-1,2
EW42-1,2
EW43-1,2
EW44-1,2
EW45-1,2
EW46-1,2
EW47-1,1
EW48-1,1
EW49-1,1
EW50-1,1
EW51-1,1
EW52-1,1
EW53-1,1
EW54-1,1
EW55-1,1
EW56-1,1
EW57-1,1
EW58-1,1
EW59-1,1
EW60-1,1
EW61-1,1
EW62-1,1
EW63-1,1
EW64-1,1
EW65-1,1
EW66-1,1
EW67-1,1
EW68-1,1
EW69-1,1
EW70-1,1
EW71-1,1
EW72-1,1
EW73-1,1
EW74-1,1
EW75-1,1
EW76-1,1
EW77-1,1
EW78-1,1
EW79-1,1
EW80-1,1
EW81-1,1
EW82-1,1
EW83-1,1
EW84-1,1
EW85-1,1
EW86-1,1
EW87-1,1
EW88-1,1
EW89-1,1
EW90-1,1
EW91-1,1
EW92-1,1
EW93-1,1
EW94-1,1
EW95-1,1
EW96-1,1
EW97-1,1
EW98-1,1
EW99-1,1
EW100-1,1
EW101-1,1
EW102-1,1
EW103-1,1
EW104-1,1
EW105-1,1
EW106-1,1
EW107-1,1
EW108-1,1
EW109-1,1
EW110-1,1
EW111-1,1
EW112-1,1
EW113-1,1
EW114-1,1
EW115-1,1
EW116-1,1
EW117-1,1
EW118-1,1
EW119-1,1
EW120-1,1
EW121-1,1
EW122-1,1
EW123-1,1
EW124-1,1
EW125-1,1
EW126-1,1
EW127-1,1
EW128-1,1
EW129-1,1
EW130-1,1
EW131-1,1
EW132-1,1
EW133-1,1
EW134-1,1
EW135-1,1
EW136-1,1
EW137-1,2
EW138-1,2
EW139-1,2
EW140-1,2
EW141-1,2
EW142-1,2
EW143-1,2
EW144-1,2
EW145-1,2
EW146-1,2
EW147-1,2
EW148-1,2
EW149-1,2
EW150-1,2
EW151-1,2
EW152-1,2
EW153-1,2
EW154-1,2
EW155-1,2
EW156-1,2
EW157-1,2
EW158-1,2
EW159-1,2
EW160-1,2
EW161-1,2
EW162-1,2
EW163-1,2
EW164-1,2
EW165-1,2
EW166-1,2
EW167-1,2
EW168-1,2
EW169-1,2
EW170-1,2
EW171-1,2
EW172-1,2
EW173-1,2
EW174-1,2
EW175-1,2
EW176-1,2
EW177-1,2
EW178-1,2
EW179-1,2
EW180-1,2
EW181-1,2
EW182-1,2
EW183-1,2
EW184-1,2
EW185-1,2
EW186-1,2
EW187-1,2
EW188-1,2
EW189-1,2
EW190-1,2
EW191-1,2
EW192-1,2
EW193-1,2
EW194-1,2
EW195-1,2
EW196-1,2
EW197-1,2
EW198-1,2
EW199-1,2
EW200-1,2
EW201-1,2
EW202-1,2
EW203-1,2
EW204-1,2
EW205-1,2
EW206-1,2
EW207-1,2
EW208-1,2
EW209-1,2
EW210-1,2
EW211-1,2
EW212-1,2
EW213-1,2
EW214-1,2
EW215-1,2
EW216-1,2
EW217-1,2
EW218-1,2
EW219-1,2
EW220-1,2
EW221-1,2
EW222-1,2
EW223-1,2
EW224-1,2
EW225-1,2
EW226-1,2
EW227-1,2
EW228-1,2
EW229-1,2
EW230-1,2
EW231-1,2
EW232-1,2
EW233-1,2
EW234-1,2
EW235-1,2
EW236-1,2
EW237-1,2
EW238-1,2
EW239-1,2
EW240-1,2
EW241-1,2
EW242-1,2
EW243-1,2
EW244-1,3
EW245-1,3
EW246-1,3
EW247-1,3
EW248-1,3
EW249-1,3
EW250-1,3
EW251-1,3
EW252-1,3
EW253-1,3
EW254-1,3
EW255-1,3
EW256-1,3
EW257-1,3
EW258-1,3
EW259-1,3
EW260-1,3
EW261-1,3
EW262-1,3
EW263-1,3
EW264-1,3
EW265-1,3
EW266-1,3
EW267-1,3
EW268-1,3
EW269-1,3
EW270-1,3
EW271-1,3
EW272-1,3
EW273-1,3
EW274-1,3
EW275-1,3
EW276-1,3
EW277-1,3
EW278-1,3
EW279-1,3
EW280-1,3
EW281-1,3
EW282-1,3
EW283-1,3
EW284-1,3
EW285-1,3
EW286-1,3
EW287-1,3
EW288-1,3
EW289-1,3
EW290-1,3
EW291-1,2
EW292-1,2
EW293-1,2
EW294-1,2
EW295-1,1
EW296-1,1
EW297-1,1
EW298-1,1
EW299-1,2
EW300-1,2
EW301-1,2
EW302-1,2
EW303-1,2
EW304-1,2
EW305-1,2
EW306-1,2
EW307-1,2
EW308-1,2
EW309-1,2
EW310-1,2
EW311-1,2
EW312-1,2
EW313-1,2
EW314-1,2
EW315-1,2
EW316-1,2
EW317-1,2
EW318-1,2
EW319-1,2
EW320-1,3
EW321-1,1
EW322-1,1
EW323-1,1
EW324-1,1
EW325-1,1
EW326-1,1
EW327-1,1
EW328-1,1
EW329-1,2
EW330-1,2
EW331-1,2
EW332-1,1
EW333-1,1
EW334-1,1
EW335-1,1
EW336-1,1
EW337-1,1
EW338-1,1
EW339-1,1
EW340-1,1
EW341-1,1
EW342-1,1
EW343-1,1
EW344-1,1
EW345-1,1
EW346-1,1
EW347-1,1
EW348-1,1
EW349-1,1
EW350-1,1
EW351-1,1
EW352-1,1
EW353-1,1
EW354-1,1
EW355-1,1
EW356-1,1
EW357-1,1
EW358-1,1
EW359-1,1
EW360-1,1
EW361-1,1
EW362-1,1
EW363-1,1
EW364-1,1
EW365-1,1
EW366-1,1
EW367-1,1
EW368-1,1
EW369-1,1
EW370-1,1
EW371-1,1
EW372-1,1
EW373-1,1
EW374-1,1
EW375-1,1
EW376-1,1
EW377-1,1
EW378-1,1
EW379-1,1
EW380-1,1
EW381-1,1
EW382-1,1
EW383-1,1
EW384-1,1
EW385-1,1
EW386-1,1
EW387-1,1
EW388-1,1
EW389-1,1
EW390-1,1
EW391-1,1
EW392-1,1
EW393-1,1
EW394-1,1
EW395-1,1
EW396-1,1
EW397-1,1
EW398-1,1
EW399-1,1
EW400-1,1
EW401-1,1
EW402-1,1
EW403-1,1
EW404-1,1
EW405-1,1
EW406-1,1
