nan,1
Chambray,2
Plaid,3
Marbled,4
Stripes,5
Solid,6
Pointelle Knit,7
Solid Knit,8
Airplane Graphic,9
Gingham,10
Denim,11
Flower,12
Crochet,13
Crochet Lounge,14
Flowers,15
Floral,16
Ruffle,17
Soiid,18
Ruffle Front,19
Solid w/ Trim,20
Striped,21
Wide Stripe,22
Cordoroy,23
Striped w/ Whale,24
Mini Stripes,25
Check,26
Cordorouy,27
Horse Shield,28
Searucker,29
Stripe,30
Chevron,31
Motorcycle,32
Liberty,33
Daisy Print,34
Paisley,35
Dots,36
Scallop,37
Searsucker,38
Searsucket,39
Anchors,40
Searsucker Anchor,41
Airplane Embroidered,42
Reindeer,43
Fagin Fairisle ,44
Ribbons,45
Codurouy,46
Lacrosse,47
Dogs,48
Cars,49
Whales,50
Lobster,51
Shark,52
Whale,53
Block Stripe,54
Dottie,55
Shoes,56
Umbrellas,57
Logo,58
Circus,59
Airplane,60
Giraffe,61
Sailboat Decal,62
Stars,63
Ducking,64
Solid w/ Fair Isle Trim,65
Moss Stitch,66
Zoo,67
Solid w/ Gingham Trimmed,68
Solid ,69
Palms,70
Moose Graphic/Stripes,71
Side Pockets,72
Stripe w/ Decal,73
Striped w/ Decal,74
Color Blocked,75
Color Block,76
Side Stripe,77
Solid w/Trim,78
Snowflakes,79
Gold Decal,80
Micro Check,81
Flamingos,82
Desserts,83
Sea Horse,84
Hearts,85
Deer,86
Poodles,87
Robin ,88
Polar Bear,89
Dot/Bow,90
Cherries,91
Butterfly,92
Beach,93
Swan,94
Links,95
Lace,96
Gold Striped Waistband,97
Heart Pocket,98
Solid Frill,99
Houndstooth,100
Eyelete Lace,101
Heart,102
Diamond,103
Polka Dots,104
Beach ,105
Pleated,106
Scotty Dogs,107
Anchor,108
