EW Item #,Pattern
EW0-1,1
EW1-1,2
EW2-1,2
EW3-1,2
EW4-1,3
EW5-1,3
EW6-1,3
EW7-1,3
EW8-1,3
EW9-1,3
EW10-1,3
EW11-1,3
EW12-1,4
EW13-1,4
EW14-1,4
EW15-1,4
EW16-1,5
EW17-1,5
EW18-1,5
EW19-1,5
EW20-1,5
EW21-1,5
EW22-1,5
EW23-1,5
EW24-1,5
EW25-1,5
EW26-1,5
EW27-1,5
EW28-1,6
EW29-1,6
EW30-1,6
EW31-1,6
EW32-1,6
EW33-1,6
EW34-1,6
EW35-1,1
EW36-1,1
EW37-1,1
EW38-1,1
EW39-1,1
EW40-1,1
EW41-1,1
EW42-1,1
EW43-1,1
EW44-1,7
EW45-1,8
EW46-1,7
EW47-1,1
EW48-1,1
EW49-1,1
EW50-1,1
EW51-1,9
EW52-1,1
EW53-1,1
EW54-1,1
EW55-1,1
EW56-1,1
EW57-1,1
EW58-1,1
EW59-1,1
EW60-1,1
EW61-1,1
EW62-1,1
EW63-1,1
EW64-1,1
EW65-1,1
EW66-1,1
EW67-1,1
EW68-1,1
EW69-1,1
EW70-1,1
EW71-1,1
EW72-1,1
EW73-1,1
EW74-1,1
EW75-1,1
EW76-1,1
EW77-1,1
EW78-1,1
EW79-1,1
EW80-1,1
EW81-1,1
EW82-1,10
EW83-1,10
EW84-1,10
EW85-1,1
EW86-1,1
EW87-1,11
EW88-1,11
EW89-1,11
EW90-1,11
EW91-1,11
EW92-1,1
EW93-1,1
EW94-1,1
EW95-1,1
EW96-1,1
EW97-1,1
EW98-1,1
EW99-1,1
EW100-1,1
EW101-1,1
EW102-1,1
EW103-1,1
EW104-1,1
EW105-1,1
EW106-1,6
EW107-1,6
EW108-1,3
EW109-1,6
EW110-1,6
EW111-1,6
EW112-1,6
EW113-1,1
EW114-1,1
EW115-1,1
EW116-1,1
EW117-1,1
EW118-1,1
EW119-1,1
EW120-1,1
EW121-1,1
EW122-1,6
EW123-1,6
EW124-1,6
EW125-1,6
EW126-1,6
EW127-1,1
EW128-1,1
EW129-1,1
EW130-1,1
EW131-1,1
EW132-1,1
EW133-1,1
EW134-1,1
EW135-1,1
EW136-1,1
EW137-1,12
EW138-1,1
EW139-1,1
EW140-1,1
EW141-1,1
EW142-1,1
EW143-1,1
EW144-1,1
EW145-1,1
EW146-1,1
EW147-1,1
EW148-1,1
EW149-1,1
EW150-1,1
EW151-1,1
EW152-1,1
EW153-1,1
EW154-1,1
EW155-1,1
EW156-1,1
EW157-1,1
EW158-1,1
EW159-1,13
EW160-1,14
EW161-1,14
EW162-1,1
EW163-1,1
EW164-1,1
EW165-1,1
EW166-1,1
EW167-1,1
EW168-1,1
EW169-1,1
EW170-1,1
EW171-1,1
EW172-1,1
EW173-1,1
EW174-1,1
EW175-1,1
EW176-1,1
EW177-1,1
EW178-1,1
EW179-1,1
EW180-1,1
EW181-1,1
EW182-1,1
EW183-1,15
EW184-1,15
EW185-1,15
EW186-1,15
EW187-1,15
EW188-1,15
EW189-1,6
EW190-1,16
EW191-1,16
EW192-1,17
EW193-1,17
EW194-1,1
EW195-1,1
EW196-1,1
EW197-1,1
EW198-1,1
EW199-1,1
EW200-1,1
EW201-1,1
EW202-1,1
EW203-1,1
EW204-1,1
EW205-1,1
