EW Item #,Species (i.e. longsleeve)
EW0-1,21
EW1-1,21
EW2-1,21
EW3-1,21
EW4-1,30
EW5-1,30
EW6-1,30
EW7-1,30
EW8-1,30
EW9-1,30
EW10-1,30
EW11-1,30
EW12-1,97
EW13-1,97
EW14-1,97
EW15-1,97
EW16-1,86
EW17-1,86
EW18-1,86
EW19-1,86
EW20-1,86
EW21-1,86
EW22-1,86
EW23-1,86
EW24-1,86
EW25-1,86
EW26-1,86
EW27-1,86
EW28-1,4
EW29-1,4
EW30-1,4
EW31-1,4
EW32-1,4
EW33-1,4
EW34-1,4
EW35-1,21
EW36-1,21
EW37-1,21
EW38-1,21
EW39-1,21
EW40-1,9
EW41-1,9
EW42-1,9
EW43-1,21
EW44-1,9
EW45-1,9
EW46-1,9
EW47-1,21
EW48-1,21
EW49-1,21
EW50-1,21
EW51-1,86
EW52-1,21
EW53-1,32
EW54-1,21
EW55-1,21
EW56-1,21
EW57-1,21
EW58-1,21
EW59-1,21
EW60-1,21
EW61-1,21
EW62-1,21
EW63-1,21
EW64-1,21
EW65-1,21
EW66-1,21
EW67-1,21
EW68-1,21
EW69-1,21
EW70-1,21
EW71-1,21
EW72-1,96
EW73-1,96
EW74-1,96
EW75-1,28
EW76-1,21
EW77-1,21
EW78-1,21
EW79-1,21
EW80-1,21
EW81-1,21
EW82-1,21
EW83-1,21
EW84-1,21
EW85-1,21
EW86-1,21
EW87-1,21
EW88-1,21
EW89-1,21
EW90-1,21
EW91-1,21
EW92-1,21
EW93-1,21
EW94-1,21
EW95-1,21
EW96-1,21
EW97-1,21
EW98-1,21
EW99-1,21
EW100-1,21
EW101-1,56
EW102-1,56
EW103-1,56
EW104-1,56
EW105-1,56
EW106-1,56
EW107-1,56
EW108-1,30
EW109-1,30
EW110-1,30
EW111-1,30
EW112-1,30
EW113-1,21
EW114-1,21
EW115-1,21
EW116-1,21
EW117-1,21
EW118-1,21
EW119-1,21
EW120-1,21
EW121-1,21
EW122-1,21
EW123-1,21
EW124-1,21
EW125-1,21
EW126-1,21
EW127-1,21
EW128-1,21
EW129-1,21
EW130-1,
EW131-1,
EW132-1,
EW133-1,
EW134-1,21
EW135-1,21
EW136-1,21
EW137-1,82
EW138-1,21
EW139-1,21
EW140-1,21
EW141-1,21
EW142-1,21
EW143-1,
EW144-1,21
EW145-1,9
EW146-1,96
EW147-1,96
EW148-1,96
EW149-1,96
EW150-1,28
EW151-1,28
EW152-1,21
EW153-1,21
EW154-1,21
EW155-1,21
EW156-1,21
EW157-1,21
EW158-1,21
EW159-1,9
EW160-1,96
EW161-1,96
EW162-1,96
EW163-1,96
EW164-1,28
EW165-1,21
EW166-1,21
EW167-1,21
EW168-1,21
EW169-1,21
EW170-1,21
EW171-1,21
EW172-1,21
EW173-1,21
EW174-1,21
EW175-1,21
EW176-1,97
EW177-1,9
EW178-1,21
EW179-1,21
EW180-1,21
EW181-1,21
EW182-1,21
EW183-1,21
EW184-1,21
EW185-1,21
EW186-1,21
EW187-1,21
EW188-1,21
EW189-1,28
EW190-1,24
EW191-1,24
EW192-1,24
EW193-1,24
EW194-1,21
EW195-1,21
EW196-1,21
EW197-1,21
EW198-1,21
EW199-1,21
EW200-1,21
EW201-1,21
EW202-1,21
EW203-1,21
EW204-1,21
EW205-1,21
EW206-1,21
EW207-1,56
EW208-1,56
EW209-1,56
EW210-1,56
EW211-1,56
EW212-1,86
EW213-1,72
EW214-1,72
EW215-1,72
EW216-1,86
EW217-1,86
EW218-1,86
EW219-1,86
EW220-1,30
EW221-1,30
EW222-1,21
EW223-1,21
EW224-1,9
EW225-1,9
EW226-1,9
EW227-1,9
EW228-1,9
EW229-1,9
EW230-1,9
EW231-1,9
EW232-1,9
EW233-1,9
EW234-1,95
EW235-1,9
EW236-1,9
EW237-1,13
EW238-1,21
EW239-1,21
EW240-1,21
EW241-1,21
EW242-1,9
EW243-1,21
EW244-1,21
EW245-1,9
EW246-1,9
EW247-1,9
EW248-1,9
EW249-1,9
EW250-1,9
EW251-1,9
EW252-1,96
EW253-1,21
EW254-1,96
EW255-1,96
EW256-1,96
EW257-1,96
EW258-1,96
EW259-1,21
EW260-1,21
EW261-1,21
EW262-1,21
EW263-1,21
EW264-1,21
EW265-1,21
EW266-1,85
EW267-1,85
EW268-1,85
EW269-1,85
EW270-1,85
EW271-1,21
EW272-1,82
EW273-1,82
EW274-1,21
EW275-1,21
EW276-1,21
EW277-1,21
EW278-1,21
EW279-1,21
EW280-1,21
EW281-1,21
EW282-1,21
EW283-1,21
EW284-1,21
EW285-1,21
EW286-1,21
EW287-1,
