Long Sleeve,1
Henley,2
Pocket,3
V Neck,4
Crew Neck,5
Scoop Neck,6
Raglan,7
3/4 Sleeve,8
Cardigan,9
1/2 Zip,10
3/4 Zip,11
Full Zip,12
Hooded,13
Shawl Collar,14
Mock Collar,15
Peasant Collar,72
Ruffle Sleeves,73
Sleeveless,75
Pajama,77
Tunic,80
Scalloped Neck,86
Collared,85
Boat Neck,88
Straps,89
Neck Snaps,90
Bow,91
Cable Knit,92
Sheer,93
Windbreaker,94
Ruffle Neck,95
Double Breasted,96
Hand Knit,97
Striped,98
Shortsleeve,56
W/Toggles,102
Scallop Neck,86
Buttoned Back,105
Peter Pan Collar,108
Skinny,16
Slim,17
Straight,18
Classic,19
Capris,20
Jeans,21
Flared,22
Pleated,23
Joggers,24
Harem,25
Cordoroy,26
Chinos,27
Drawstring,28
Palazzo,29
Pajama,76
Swim Trunks,81
Flat Front,30
Pleated,31
Cargo,32
5 Pocket,33
Back Pockets,34
Front Pockets,35
Seamed Pockets,36
Embelished Pockets,37
Flap Pockets,38
Shaped Pockets,39
No Pockets,40
Asymetrical,41
Mini,42
Midi,43
Maxi,44
Layered,45
Pencil,46
Ruffled,47
Accordian,48
Paneled,49
Straight,50
Side Pockets,101
Shorts,51
Pants,52
Briefs,53
Skirt,54
Shortsleeve,56
Tank,57
Sleeveless,58
Playsuit,83
Footed,84
Collared,85
Gown,99
Layette,104
ShortSleeve,56
Longsleeve,55
Shirt Dress,59
Halter Dress,60
Strapless,61
Apron Dress,62
Tent Dress,63
Sundress,64
Wrap Dress,65
One Shoulder,66
Tunic,67
Smock,68
Tea Dress,69
Embellished,70
A Line,71
Sleeveless,74
Nightdress,78
Pleated,79
Longsleeve,82
w/ Bloomers,103
Spaghetti Straps,106
Baby Doll,107
