EW Item #,Style
EW0-1,0
EW1-1,0
EW2-1,0
EW3-1,0
EW4-1,1
EW5-1,1
EW6-1,1
EW7-1,1
EW8-1,1
EW9-1,1
EW10-1,1
EW11-1,1
EW12-1,0
EW13-1,0
EW14-1,0
EW15-1,0
EW16-1,0
EW17-1,0
EW18-1,0
EW19-1,0
EW20-1,0
EW21-1,0
EW22-1,0
EW23-1,0
EW24-1,0
EW25-1,0
EW26-1,0
EW27-1,0
EW28-1,0
EW29-1,0
EW30-1,0
EW31-1,0
EW32-1,0
EW33-1,0
EW34-1,0
EW35-1,1
EW36-1,1
EW37-1,1
EW38-1,1
EW39-1,1
EW40-1,0
EW41-1,0
EW42-1,0
EW43-1,2
EW44-1,0
EW45-1,0
EW46-1,0
EW47-1,0
EW48-1,0
EW49-1,0
EW50-1,0
EW51-1,0
EW52-1,0
EW53-1,1
EW54-1,0
EW55-1,0
EW56-1,0
EW57-1,0
EW58-1,0
EW59-1,0
EW60-1,0
EW61-1,0
EW62-1,0
EW63-1,0
EW64-1,0
EW65-1,0
EW66-1,0
EW67-1,0
EW68-1,0
EW69-1,0
EW70-1,0
EW71-1,0
EW72-1,0
EW73-1,0
EW74-1,0
EW75-1,1
EW76-1,0
EW77-1,0
EW78-1,0
EW79-1,0
EW80-1,0
EW81-1,0
EW82-1,0
EW83-1,0
EW84-1,0
EW85-1,0
EW86-1,1
EW87-1,1
EW88-1,1
EW89-1,1
EW90-1,1
EW91-1,1
EW92-1,0
EW93-1,0
EW94-1,0
EW95-1,0
EW96-1,0
EW97-1,0
EW98-1,0
EW99-1,0
EW100-1,0
EW101-1,0
EW102-1,0
EW103-1,0
EW104-1,0
EW105-1,0
EW106-1,0
EW107-1,0
EW108-1,1
EW109-1,1
EW110-1,1
EW111-1,1
EW112-1,1
EW113-1,1
EW114-1,1
EW115-1,1
EW116-1,0
EW117-1,0
EW118-1,0
EW119-1,0
EW120-1,0
EW121-1,0
EW122-1,0
EW123-1,0
EW124-1,0
EW125-1,0
EW126-1,0
EW127-1,0
EW128-1,1
EW129-1,1
EW130-1,
EW131-1,
EW132-1,
EW133-1,
EW134-1,1
EW135-1,1
EW136-1,0
EW137-1,0
EW138-1,0
EW139-1,0
EW140-1,0
EW141-1,0
EW142-1,0
EW143-1,
EW144-1,0
EW145-1,0
EW146-1,0
EW147-1,0
EW148-1,0
EW149-1,0
EW150-1,1
EW151-1,1
EW152-1,1
EW153-1,1
EW154-1,1
EW155-1,1
EW156-1,1
EW157-1,1
EW158-1,1
EW159-1,0
EW160-1,0
EW161-1,0
EW162-1,0
EW163-1,0
EW164-1,1
EW165-1,3
EW166-1,3
EW167-1,3
EW168-1,3
EW169-1,3
EW170-1,3
EW171-1,3
EW172-1,3
EW173-1,3
EW174-1,3
EW175-1,0
EW176-1,0
EW177-1,0
EW178-1,0
EW179-1,3
EW180-1,3
EW181-1,3
EW182-1,0
EW183-1,1
EW184-1,1
EW185-1,1
EW186-1,1
EW187-1,1
EW188-1,1
EW189-1,1
EW190-1,1
EW191-1,1
EW192-1,1
EW193-1,1
EW194-1,1
EW195-1,1
EW196-1,1
EW197-1,1
EW198-1,1
EW199-1,1
EW200-1,1
EW201-1,0
EW202-1,0
EW203-1,0
EW204-1,0
